"","X","TPR","OC","p","cov.type","rho","op","n1","n2","det1","det2","sig12"
"1","MOW1-1",0.47075,"t",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"2","MDW-1",0.47015,"t",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"3","SDA0-1",0.4283,"t",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"4","SDA1-1",0.39695,"t",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"5","MOW1-11",0.47305,"t",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"6","MDW-11",0.4702,"t",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"7","SDA0-11",0.43835,"t",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"8","SDA1-11",0.4026,"t",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"9","MOW1-12",0.4764,"t",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"10","MDW-12",0.47825,"t",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"11","SDA0-12",0.45525,"t",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"12","SDA1-12",0.4237,"t",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"13","MOW1-13",0.47425,"t",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"14","MDW-13",0.47535,"t",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"15","SDA0-13",0.48425,"t",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"16","SDA1-13",0.45845,"t",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"17","MOW1-14",0.4759,"t",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"18","MDW-14",0.4735,"t",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"19","SDA0-14",0.5253,"t",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"20","SDA1-14",0.51565,"t",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"21","MOW1-15",0.4789,"t",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"22","MDW-15",0.47815,"t",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"23","SDA0-15",0.5899,"t",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"24","SDA1-15",0.5832,"t",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"25","MOW1-16",0.4774,"t",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"26","MDW-16",0.47775,"t",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"27","SDA0-16",0.6622,"t",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"28","SDA1-16",0.6561,"t",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"29","MOW1-17",0.4738,"t",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"30","MDW-17",0.4701,"t",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"31","SDA0-17",0.78505,"t",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"32","SDA1-17",0.774,"t",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"33","MOW1-18",0.4765,"t",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"34","MDW-18",0.463,"t",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"35","SDA0-18",0.91035,"t",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"36","SDA1-18",0.9199,"t",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"37","MOW1-19",0.5654,"gamma",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"38","MDW-19",0.56415,"gamma",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"39","SDA0-19",0.4982,"gamma",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"40","SDA1-19",0.4698,"gamma",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"41","MOW1-110",0.56565,"gamma",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"42","MDW-110",0.56985,"gamma",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"43","SDA0-110",0.50065,"gamma",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"44","SDA1-110",0.47375,"gamma",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"45","MOW1-111",0.5698,"gamma",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"46","MDW-111",0.57095,"gamma",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"47","SDA0-111",0.52695,"gamma",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"48","SDA1-111",0.49945,"gamma",600,"ar",0.3,0.1,400,100,-0.3,0.3,0.05
"49","MOW1-112",0.5662,"gamma",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"50","MDW-112",0.56995,"gamma",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"51","SDA0-112",0.5607,"gamma",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"52","SDA1-112",0.5342,"gamma",600,"ar",0.4,0.1,400,100,-0.3,0.3,0.05
"53","MOW1-113",0.56945,"gamma",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"54","MDW-113",0.57115,"gamma",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"55","SDA0-113",0.60835,"gamma",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"56","SDA1-113",0.5723,"gamma",600,"ar",0.5,0.1,400,100,-0.3,0.3,0.05
"57","MOW1-114",0.5699,"gamma",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"58","MDW-114",0.572,"gamma",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"59","SDA0-114",0.6594,"gamma",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"60","SDA1-114",0.6417,"gamma",600,"ar",0.6,0.1,400,100,-0.3,0.3,0.05
"61","MOW1-115",0.57305,"gamma",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"62","MDW-115",0.57395,"gamma",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"63","SDA0-115",0.7416,"gamma",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"64","SDA1-115",0.7284,"gamma",600,"ar",0.7,0.1,400,100,-0.3,0.3,0.05
"65","MOW1-116",0.5804,"gamma",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"66","MDW-116",0.58125,"gamma",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"67","SDA0-116",0.84205,"gamma",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"68","SDA1-116",0.8378,"gamma",600,"ar",0.8,0.1,400,100,-0.3,0.3,0.05
"69","MOW1-117",0.5802,"gamma",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"70","MDW-117",0.57155,"gamma",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
