"","ind","W"
"V1",0,0
"V2",0,0
"V3",0,-0.353543747939752
"V4",0,0
"V5",0,0
"V6",0,0
"V7",1,22.782843879446
"V8",0,0
"V9",0,-0.325122865501194
"V10",0,0
"V11",1,36.3472252255714
"V12",0,0
"V13",0,1.52783647426916
"V14",0,0
"V15",1,35.2930985144706
"V16",0,-1.53943645414547
"V17",0,0
"V18",0,0.00487201451420919
"V19",0,0
"V20",0,0
"V21",0,0
"V22",0,0
"V23",0,0
"V24",1,24.4982029637116
"V25",0,0
"V26",0,0
"V27",0,-4.29940143374251
"V28",0,0
"V29",0,0
"V30",1,23.0647688423108
"V31",0,1.2600790867146
"V32",0,-0.404403270463637
"V33",1,12.0024383753294
"V34",0,0
"V35",0,0
"V36",0,0
"V37",0,1.07838666414891
"V38",0,-2.87228490319357
"V39",0,-1.38788048249931
"V40",0,0
"V41",0,0
"V42",0,0
"V43",0,0
"V44",0,0
"V45",0,0
"V46",0,1.32368901928687
"V47",0,0
"V48",0,0
"V49",0,0
"V50",0,-2.27673433951232
"V51",0,0
"V52",0,0
"V53",0,0
"V54",0,-0.0255223752299626
"V55",0,0
"V56",0,0
"V57",0,0
"V58",0,0
"V59",0,0
"V60",0,0
"V61",0,0
"V62",0,0
"V63",0,0
"V64",0,0
"V65",0,0
"V66",0,0.503145457947236
"V67",0,0
"V68",0,0
"V69",0,0
"V70",0,0
"V71",0,0
"V72",0,0
"V73",0,0
"V74",0,0.907126080752445
"V75",0,0
"V76",0,0
"V77",1,27.6859458917534
"V78",0,0
"V79",0,0
"V80",0,0
"V81",0,0
"V82",0,0
"V83",0,0
"V84",0,0
"V85",0,0
"V86",0,9.67631113744471
"V87",0,0
"V88",0,0
"V89",0,0
"V90",0,0
"V91",0,-1.32442107141463
"V92",0,-0.0400612215542113
"V93",0,2.31872584785485
"V94",1,14.4588555974929
"V95",0,0
"V96",0,0
"V97",0,0
"V98",0,0
"V99",0,0
"V100",0,0
"V101",0,0
"V102",0,0
"V103",0,0
"V104",1,64.7596775315607
"V105",0,-5.95634282740356
"V106",0,0
"V107",1,27.0355865329793
"V108",0,0
"V109",0,0
"V110",0,1.01295714469072
"V111",0,-0.887927452931951
"V112",0,0
"V113",0,0
"V114",0,1.43539686542807
"V115",0,0
"V116",0,0
"V117",0,0
"V118",0,-1.11074521195022
"V119",0,0
"V120",0,0
"V121",0,0
"V122",0,0
"V123",1,40.2266813881786
"V124",0,-1.65369652008762
"V125",0,0
"V126",1,0
"V127",0,-0.00405751509334214
"V128",0,0
"V129",0,0
"V130",1,16.5204657147892
"V131",0,0
"V132",0,0
"V133",0,0
"V134",0,0
"V135",0,0
"V136",0,0
"V137",0,-1.4925291747818
"V138",0,0
"V139",0,3.05132559174113
"V140",0,-0.649921176858244
"V141",0,0
"V142",0,0
"V143",0,0
"V144",0,0
"V145",0,0
"V146",0,0
"V147",0,0
"V148",0,0
"V149",0,0
"V150",0,0
"V151",0,0
"V152",1,19.5025356882302
"V153",0,0
"V154",0,0
"V155",0,0
"V156",0,-0.897940352009838
"V157",0,0
"V158",0,0.0962915324596659
"V159",0,0
"V160",0,0
"V161",0,0
"V162",0,-1.2300844852695
"V163",0,0
"V164",1,49.0743652461473
"V165",0,0
"V166",0,-0.617585219856031
"V167",0,0
"V168",0,0
"V169",0,0
"V170",1,31.5831162410265
"V171",0,0
"V172",0,0
"V173",0,0
"V174",0,0
"V175",1,31.4705286436613
"V176",0,-1.41329082425137
"V177",0,0
"V178",0,0
"V179",1,16.5018965022382
"V180",0,0
"V181",0,0
"V182",0,0
"V183",0,0
"V184",0,0
"V185",0,-0.995419119154173
"V186",0,-0.191404316681335
"V187",0,0
"V188",0,0.110869235054875
"V189",0,0
"V190",1,43.8578924159272
"V191",0,0
"V192",0,0
"V193",0,0
"V194",0,0
"V195",0,0
"V196",0,0
"V197",0,0
"V198",0,-0.898822683276028
"V199",1,33.366934031343
"V200",0,0
