"","det_num","fdr","tdr","alpha","method","delta","op"
"1",0,0,0,0.1,"leb",0.1,0.1
"2",0,0,0,0.15,"leb",0.1,0.1
"3",0,0,0,0.2,"leb",0.1,0.1
"4",0,0,0,0.25,"leb",0.1,0.1
"5",0,0,0,0.3,"leb",0.1,0.1
"6",0,0,0,0.4,"leb",0.1,0.1
"7",1,0,0.0217391304347826,0.1,"sda",0.1,0.1
"8",1,0,0.0217391304347826,0.15,"sda",0.1,0.1
"9",1,0,0.0217391304347826,0.2,"sda",0.1,0.1
"10",5,0,0.108695652173913,0.25,"sda",0.1,0.1
"11",5,0,0.108695652173913,0.3,"sda",0.1,0.1
"12",5,0,0.108695652173913,0.4,"sda",0.1,0.1
"13",291,0.859106529209622,0.891304347826087,0.1,"mdr",0.1,0.1
"14",237,0.827004219409283,0.891304347826087,0.15,"mdr",0.1,0.1
"15",196,0.790816326530612,0.891304347826087,0.2,"mdr",0.1,0.1
"16",161,0.763975155279503,0.826086956521739,0.25,"mdr",0.1,0.1
"17",131,0.748091603053435,0.717391304347826,0.3,"mdr",0.1,0.1
"18",88,0.681818181818182,0.608695652173913,0.4,"mdr",0.1,0.1
"19",0,0,0,0.1,"leb",0.1,0.1
"20",0,0,0,0.15,"leb",0.1,0.1
"21",0,0,0,0.2,"leb",0.1,0.1
"22",0,0,0,0.25,"leb",0.1,0.1
"23",0,0,0,0.3,"leb",0.1,0.1
"24",0,0,0,0.4,"leb",0.1,0.1
"25",1,0,0.0217391304347826,0.1,"sda",0.1,0.1
"26",1,0,0.0217391304347826,0.15,"sda",0.1,0.1
"27",1,0,0.0217391304347826,0.2,"sda",0.1,0.1
"28",1,0,0.0217391304347826,0.25,"sda",0.1,0.1
"29",1,0,0.0217391304347826,0.3,"sda",0.1,0.1
"30",4,0.25,0.0652173913043478,0.4,"sda",0.1,0.1
"31",315,0.863492063492064,0.934782608695652,0.1,"mdr",0.1,0.1
"32",262,0.854961832061069,0.826086956521739,0.15,"mdr",0.1,0.1
"33",216,0.842592592592593,0.739130434782609,0.2,"mdr",0.1,0.1
"34",179,0.815642458100559,0.717391304347826,0.25,"mdr",0.1,0.1
"35",148,0.783783783783784,0.695652173913043,0.3,"mdr",0.1,0.1
"36",97,0.711340206185567,0.608695652173913,0.4,"mdr",0.1,0.1
"37",0,0,0,0.1,"leb",0.1,0.1
"38",0,0,0,0.15,"leb",0.1,0.1
"39",0,0,0,0.2,"leb",0.1,0.1
"40",0,0,0,0.25,"leb",0.1,0.1
"41",0,0,0,0.3,"leb",0.1,0.1
"42",0,0,0,0.4,"leb",0.1,0.1
"43",3,0.333333333333333,0.0434782608695652,0.1,"sda",0.1,0.1
"44",3,0.333333333333333,0.0434782608695652,0.15,"sda",0.1,0.1
"45",5,0.2,0.0869565217391304,0.2,"sda",0.1,0.1
"46",5,0.2,0.0869565217391304,0.25,"sda",0.1,0.1
"47",5,0.2,0.0869565217391304,0.3,"sda",0.1,0.1
"48",5,0,0.108695652173913,0.4,"sda",0.1,0.1
"49",254,0.862204724409449,0.760869565217391,0.1,"mdr",0.1,0.1
"50",188,0.824468085106383,0.717391304347826,0.15,"mdr",0.1,0.1
"51",138,0.789855072463768,0.630434782608696,0.2,"mdr",0.1,0.1
"52",104,0.769230769230769,0.521739130434783,0.25,"mdr",0.1,0.1
"53",79,0.734177215189873,0.456521739130435,0.3,"mdr",0.1,0.1
"54",45,0.733333333333333,0.260869565217391,0.4,"mdr",0.1,0.1
"55",0,0,0,0.1,"leb",0.1,0.1
"56",0,0,0,0.15,"leb",0.1,0.1
"57",0,0,0,0.2,"leb",0.1,0.1
"58",0,0,0,0.25,"leb",0.1,0.1
"59",0,0,0,0.3,"leb",0.1,0.1
"60",0,0,0,0.4,"leb",0.1,0.1
"61",7,0.142857142857143,0.130434782608696,0.1,"sda",0.1,0.1
"62",8,0.25,0.130434782608696,0.15,"sda",0.1,0.1
"63",11,0.272727272727273,0.173913043478261,0.2,"sda",0.1,0.1
"64",16,0.4375,0.195652173913043,0.25,"sda",0.1,0.1
"65",17,0.470588235294118,0.195652173913043,0.3,"sda",0.1,0.1
"66",17,0.411764705882353,0.217391304347826,0.4,"sda",0.1,0.1
"67",261,0.854406130268199,0.826086956521739,0.1,"mdr",0.1,0.1
"68",202,0.831683168316832,0.739130434782609,0.15,"mdr",0.1,0.1
"69",158,0.80379746835443,0.673913043478261,0.2,"mdr",0.1,0.1
"70",123,0.780487804878049,0.58695652173913,0.25,"mdr",0.1,0.1
"71",95,0.726315789473684,0.565217391304348,0.3,"mdr",0.1,0.1
"72",55,0.636363636363636,0.434782608695652,0.4,"mdr",0.1,0.1
"73",1,0,0.0217391304347826,0.1,"leb",0.1,0.1
"74",1,0,0.0217391304347826,0.15,"leb",0.1,0.1
"75",1,0,0.0217391304347826,0.2,"leb",0.1,0.1
"76",1,0,0.0217391304347826,0.25,"leb",0.1,0.1
"77",1,0,0.0217391304347826,0.3,"leb",0.1,0.1
"78",1,0,0.0217391304347826,0.4,"leb",0.1,0.1
"79",0,0,0,0.1,"sda",0.1,0.1
"80",0,0,0,0.15,"sda",0.1,0.1
"81",0,0,0,0.2,"sda",0.1,0.1
"82",3,0,0.0652173913043478,0.25,"sda",0.1,0.1
"83",3,0,0.0652173913043478,0.3,"sda",0.1,0.1
"84",3,0,0.0652173913043478,0.4,"sda",0.1,0.1
"85",210,0.819047619047619,0.826086956521739,0.1,"mdr",0.1,0.1
"86",158,0.79746835443038,0.695652173913043,0.15,"mdr",0.1,0.1
"87",119,0.781512605042017,0.565217391304348,0.2,"mdr",0.1,0.1
"88",90,0.766666666666667,0.456521739130435,0.25,"mdr",0.1,0.1
"89",69,0.753623188405797,0.369565217391304,0.3,"mdr",0.1,0.1
"90",43,0.604651162790698,0.369565217391304,0.4,"mdr",0.1,0.1
"91",0,0,0,0.1,"leb",0.1,0.1
"92",0,0,0,0.15,"leb",0.1,0.1
"93",0,0,0,0.2,"leb",0.1,0.1
"94",0,0,0,0.25,"leb",0.1,0.1
"95",0,0,0,0.3,"leb",0.1,0.1
"96",0,0,0,0.4,"leb",0.1,0.1
"97",1,0,0.0217391304347826,0.1,"sda",0.1,0.1
"98",1,0,0.0217391304347826,0.15,"sda",0.1,0.1
"99",1,0,0.0217391304347826,0.2,"sda",0.1,0.1
"100",1,0,0.0217391304347826,0.25,"sda",0.1,0.1
"101",1,0,0.0217391304347826,0.3,"sda",0.1,0.1
"102",0,0,0,0.4,"sda",0.1,0.1
"103",400,0.9,0.869565217391304,0.1,"mdr",0.1,0.1
"104",365,0.895890410958904,0.826086956521739,0.15,"mdr",0.1,0.1
"105",329,0.893617021276596,0.760869565217391,0.2,"mdr",0.1,0.1
"106",294,0.891156462585034,0.695652173913043,0.25,"mdr",0.1,0.1
"107",260,0.880769230769231,0.673913043478261,0.3,"mdr",0.1,0.1
"108",195,0.871794871794872,0.543478260869565,0.4,"mdr",0.1,0.1
"109",1,0,0.0217391304347826,0.1,"leb",0.1,0.1
"110",1,0,0.0217391304347826,0.15,"leb",0.1,0.1
"111",1,0,0.0217391304347826,0.2,"leb",0.1,0.1
"112",1,0,0.0217391304347826,0.25,"leb",0.1,0.1
"113",1,0,0.0217391304347826,0.3,"leb",0.1,0.1
"114",1,0,0.0217391304347826,0.4,"leb",0.1,0.1
"115",5,0.2,0.0869565217391304,0.1,"sda",0.1,0.1
"116",6,0.333333333333333,0.0869565217391304,0.15,"sda",0.1,0.1
"117",8,0.375,0.108695652173913,0.2,"sda",0.1,0.1
"118",8,0.375,0.108695652173913,0.25,"sda",0.1,0.1
"119",8,0.375,0.108695652173913,0.3,"sda",0.1,0.1
"120",9,0.333333333333333,0.130434782608696,0.4,"sda",0.1,0.1
"121",295,0.877966101694915,0.782608695652174,0.1,"mdr",0.1,0.1
"122",241,0.863070539419087,0.717391304347826,0.15,"mdr",0.1,0.1
